,Date,SecurityId,CompanyId,Ticker,IsoCountryCode,Close
795,2024-03-18,XOM,25079,XOM UN Equity,US,112.3
796,2024-03-15,BRK.B,44925,BRK/B UN Equity,US,408.13
797,2024-03-15,CMB,37965,JPM UN Equity,US,190.3
798,2024-03-15,MSFT,52712,MSFT UW Equity,US,416.42
799,2024-03-15,NVDA,53501,NVDA UW Equity,US,878.365
800,2024-03-15,XOM,25079,XOM UN Equity,US,111.27
801,2024-03-14,BRK.B,44925,BRK/B UN Equity,US,406.73
802,2024-03-14,CMB,37965,JPM UN Equity,US,187.97
803,2024-03-14,MSFT,52712,MSFT UW Equity,US,425.22
804,2024-03-14,NVDA,53501,NVDA UW Equity,US,879.44
805,2024-03-14,XOM,25079,XOM UN Equity,US,111.47
806,2024-03-13,BRK.B,44925,BRK/B UN Equity,US,408.13
807,2024-03-13,CMB,37965,JPM UN Equity,US,191.38
808,2024-03-13,MSFT,52712,MSFT UW Equity,US,415.1
809,2024-03-13,NVDA,53501,NVDA UW Equity,US,908.88
810,2024-03-13,XOM,25079,XOM UN Equity,US,109.53
811,2024-03-12,BRK.B,44925,BRK/B UN Equity,US,404.98
812,2024-03-12,CMB,37965,JPM UN Equity,US,189.84
813,2024-03-12,MSFT,52712,MSFT UW Equity,US,415.28
814,2024-03-12,NVDA,53501,NVDA UW Equity,US,919.13
815,2024-03-12,XOM,25079,XOM UN Equity,US,108.32
816,2024-03-11,BRK.B,44925,BRK/B UN Equity,US,404.76
817,2024-03-11,CMB,37965,JPM UN Equity,US,188.29
818,2024-03-11,MSFT,52712,MSFT UW Equity,US,404.52
819,2024-03-11,NVDA,53501,NVDA UW Equity,US,857.74
820,2024-03-11,XOM,25079,XOM UN Equity,US,109.02
821,2024-03-08,BRK.B,44925,BRK/B UN Equity,US,403.15
822,2024-03-08,CMB,37965,JPM UN Equity,US,188.22
823,2024-03-08,MSFT,52712,MSFT UW Equity,US,406.22
824,2024-03-08,NVDA,53501,NVDA UW Equity,US,875.28
825,2024-03-08,XOM,25079,XOM UN Equity,US,108.38
826,2024-03-07,BRK.B,44925,BRK/B UN Equity,US,402.39
827,2024-03-07,CMB,37965,JPM UN Equity,US,187.87
828,2024-03-07,MSFT,52712,MSFT UW Equity,US,409.14
829,2024-03-07,NVDA,53501,NVDA UW Equity,US,926.69
830,2024-03-07,XOM,25079,XOM UN Equity,US,107.37
831,2024-03-06,BRK.B,44925,BRK/B UN Equity,US,403.96
832,2024-03-06,CMB,37965,JPM UN Equity,US,189.53
833,2024-03-06,MSFT,52712,MSFT UW Equity,US,402.09
834,2024-03-06,NVDA,53501,NVDA UW Equity,US,887
835,2024-03-06,XOM,25079,XOM UN Equity,US,106.77
